				Real	H_100_py	H_100_ex	H_90_py	H_90_ex	H_80_py	H_80_ex	H_70_py	H_70_ex	H_60_py	H_60_ex	H_50_py	H_50_ex	Promedio	Promedio_Ex
82	82	CameraDown	-13.0.png	-13.0	89	89.36	-88	-87.67	89	89.56	89	89.00	-87	-87.00	90	90.33	30.33	30.60
83	83	CameraDown	-12.0.png	-12.0	89	89.45	-88	-87.56	89	89.67	89	89.17	-87	-86.88	90	90.50	30.33	30.73
84	84	CameraDown	-11.0.png	-11.0	89	89.55	-88	-87.44	89	89.78	89	89.33	-87	-86.75	90	90.67	30.33	30.85
85	85	CameraDown	-10.0.png	-10.0	89	89.64	-88	-87.33	89	89.89	89	89.50	-87	-86.63	90	90.83	30.33	30.98
86	86	CameraDown	-9.0.png	-9.0	89	89.73	-88	-87.22	90	90.00	89	89.67	-87	-86.50	-88	-88.00	0.83	1.28
87	87	CameraDown	-8.0.png	-8.0	89	89.82	-88	-87.11	90	90.13	89	89.83	-87	-86.38	-88	-87.86	0.83	1.41
88	88	CameraDown	-7.0.png	-7.0	89	89.91	-87	-87.00	90	90.25	90	90.00	-87	-86.25	-88	-87.71	1.17	1.53
89	89	CameraDown	-6.0.png	-6.0	90	90.00	-87	-86.89	90	90.38	90	90.13	-87	-86.13	-88	-87.57	1.33	1.65
90	90	CameraDown	-5.0.png	-5.0	90	90.11	-87	-86.78	90	90.50	90	90.25	-86	-86.00	-88	-87.43	1.50	1.78
91	91	CameraDown	-4.0.png	-4.0	90	90.22	-87	-86.67	90	90.63	90	90.38	-86	-85.80	-88	-87.29	1.50	1.91
92	92	CameraDown	-3.0.png	-3.0	90	90.33	-87	-86.56	90	90.75	90	90.50	-86	-85.60	-88	-87.14	1.50	2.05
93	93	CameraDown	-2.0.png	-2.0	90	90.44	-87	-86.44	90	90.88	90	90.63	-86	-85.40	-87	-87.00	1.67	2.18
94	94	CameraDown	-1.0.png	-1.0	90	90.56	-87	-86.33	-88	-88.00	90	90.75	-86	-85.20	-87	-86.80	-28.00	-27.50
96	96	CameraDown	0.0.png	0.0	90	90.67	-87	-86.22	-88	-87.88	90	90.88	-85	-85.00	-87	-86.60	-27.83	-27.36
97	97	CameraDown	1.0.png	1.0	90	90.78	-87	-86.11	-88	-87.75	-88	-88.00	-85	-84.88	-87	-86.40	-57.50	-57.06
98	98	CameraDown	2.0.png	2.0	90	90.89	-86	-86.00	-88	-87.63	-88	-87.88	-85	-84.75	-87	-86.20	-57.33	-56.93
99	99	CameraDown	3.0.png	3.0	-88	-88.00	-86	-85.90	-88	-87.50	-88	-87.75	-85	-84.63	-86	-86.00	-86.83	-86.63
100	100	CameraDown	4.0.png	4.0	-88	-87.88	-86	-85.80	-88	-87.38	-88	-87.63	-85	-84.50	-86	-85.80	-86.83	-86.50
101	101	CameraDown	5.0.png	5.0	-88	-87.75	-86	-85.70	-88	-87.25	-88	-87.50	-85	-84.38	-86	-85.60	-86.83	-86.36
102	102	CameraDown	6.0.png	6.0	-88	-87.63	-86	-85.60	-88	-87.13	-88	-87.38	-85	-84.25	-86	-85.40	-86.83	-86.23
103	103	CameraDown	7.0.png	7.0	-88	-87.50	-86	-85.50	-87	-87.00	-88	-87.25	-85	-84.13	-86	-85.20	-86.67	-86.10
104	104	CameraDown	8.0.png	8.0	-88	-87.38	-86	-85.40	-87	-86.88	-88	-87.13	-84	-84.00	-85	-85.00	-86.33	-85.96
105	105	CameraDown	9.0.png	9.0	-88	-87.25	-86	-85.30	-87	-86.75	-87	-87.00	-84	-83.88	-85	-84.83	-86.17	-85.83
106	106	CameraDown	10.0.png	10.0	-88	-87.13	-86	-85.20	-87	-86.63	-87	-86.88	-84	-83.75	-85	-84.67	-86.17	-85.71
107	107	CameraDown	11.0.png	11.0	-87	-87.00	-86	-85.10	-87	-86.50	-87	-86.75	-84	-83.63	-85	-84.50	-86.00	-85.58
108	108	CameraDown	12.0.png	12.0	-87	-86.90	-85	-85.00	-87	-86.38	-87	-86.63	-84	-83.50	-85	-84.33	-85.83	-85.46
109	109	CameraDown	13.0.png	13.0	-87	-86.80	-85	-84.89	-87	-86.25	-87	-86.50	-84	-83.38	-85	-84.17	-85.83	-85.33
110	110	CameraDown	14.0.png	14.0	-87	-86.70	-85	-84.78	-87	-86.13	-87	-86.38	-84	-83.25	-84	-84.00	-85.67	-85.20
111	111	CameraDown	15.0.png	15.0	-87	-86.60	-85	-84.67	-86	-86.00	-87	-86.25	-84	-83.13	-84	-83.86	-85.50	-85.08
112	112	CameraDown	16.0.png	16.0	-87	-86.50	-85	-84.56	-86	-85.88	-87	-86.13	-83	-83.00	-84	-83.71	-85.33	-84.96
113	113	CameraDown	17.0.png	17.0	-87	-86.40	-85	-84.44	-86	-85.75	-86	-86.00	-83	-82.80	-84	-83.57	-85.17	-84.83
114	114	CameraDown	18.0.png	18.0	-87	-86.30	-85	-84.33	-86	-85.63	-86	-85.83	-83	-82.60	-84	-83.43	-85.17	-84.69
115	115	CameraDown	19.0.png	19.0	-87	-86.20	-85	-84.22	-86	-85.50	-86	-85.67	-83	-82.40	-84	-83.29	-85.17	-84.55
116	116	CameraDown	20.0.png	20.0	-87	-86.10	-85	-84.11	-86	-85.38	-86	-85.50	-83	-82.20	-84	-83.14	-85.17	-84.40
118	118	CameraDown	21.0.png	21.0	-86	-86.00	-84	-84.00	-86	-85.25	-86	-85.33	-82	-82.00	-83	-83.00	-84.50	-84.26
119	119	CameraDown	22.0.png	22.0	-86	-85.92	-84	-83.88	-86	-85.13	-86	-85.17	-82	-81.87	-83	-82.80	-84.50	-84.13
120	120	CameraDown	23.0.png	23.0	-86	-85.83	-84	-83.75	-85	-85.00	-85	-85.00	-82	-81.75	-83	-82.60	-84.17	-83.99
121	121	CameraDown	24.0.png	24.0	-86	-85.75	-84	-83.63	-85	-84.88	-85	-84.88	-82	-81.62	-83	-82.40	-84.17	-83.86
122	122	CameraDown	25.0.png	25.0	-86	-85.67	-84	-83.50	-85	-84.75	-85	-84.75	-82	-81.50	-83	-82.20	-84.17	-83.73
123	123	CameraDown	26.0.png	26.0	-86	-85.58	-84	-83.38	-85	-84.63	-85	-84.63	-82	-81.37	-82	-82.00	-84.00	-83.60
124	124	CameraDown	27.0.png	27.0	-86	-85.50	-84	-83.25	-85	-84.50	-85	-84.50	-82	-81.25	-82	-81.83	-84.00	-83.47
